province,district,one_aye,one_aye100,one_nay,one_nay100,two_aye,two_aye100,two_nay,two_nay100
พัทลุง,บางแก้ว,"9,941",86.47,"1,555",13.53,"9,349",84.17,"1,758",15.83
พัทลุง,ปากพะยูน,"20,354",86.9,"3,069",13.1,"19,143",84.15,"3,606",15.85
พัทลุง,ป่าบอน,"19,071",85.64,"3,198",14.36,"18,016",83.09,"3,666",16.91
พัทลุง,ป่าพะยอม,"15,074",86.76,"2,301",13.24,"14,101",83.49,"2,789",16.51
พัทลุง,เมืองพัทลุง,"50,156",85.31,"8,634",14.69,"47,146",82.15,"10,247",17.85
พัทลุง,ศรีนครินทร์,"11,047",82.26,"2,383",17.74,"10,093",78.8,"2,716",21.2
พัทลุง,ศรีบรรพต,"7,684",81.59,"1,734",18.41,"7,098",78.52,"1,942",21.48
พัทลุง,นอกเขต,347,83.61,68,16.39,324,78.83,87,21.17
พิจิตร,ดงเจริญ,"4,539",58.24,"3,255",41.76,"3,932",53.5,"3,418",46.5
พิจิตร,ตะพานหิน,"15,932",58.4,"11,347",41.6,"14,016",54.66,"11,625",45.34
พิจิตร,ทับคล้อ,"7,866",50.96,"7,571",49.04,"6,654",47.2,"7,442",52.8
พิจิตร,บางมูลนาก,"11,003",60.09,"7,308",39.91,"9,747",56.18,"7,602",43.82
พิจิตร,บึงนาราง,"8,472",74.48,"2,903",25.52,"7,475",70.24,"3,167",29.76
พิจิตร,โพทะเล,"16,237",65.05,"8,722",34.95,"13,834",59.97,"9,233",40.03
พิจิตร,โพธิ์ประทับช้าง,"11,707",67.49,"5,638",32.51,"10,404",64.02,"5,846",35.98
พิจิตร,เมืองพิจิตร,"33,045",72.72,"12,399",27.28,"29,753",69.65,"12,962",30.35
พิจิตร,วชิรบารมี,"7,658",63.48,"4,406",36.52,"6,610",59.07,"4,581",40.93
พิจิตร,คำม่วง,"6,178",64.91,"3,340",35.09,"5,452",61.42,"3,425",38.58
พิจิตร,สากเหล็ก,"6,713",73.95,"2,365",26.05,"5,894",71.11,"2,395",28.89
พิจิตร,สามง่าม,"11,613",67.46,"5,602",32.54,"10,244",64.63,"5,607",35.37
พิจิตร,นอกเขต,367,71.82,144,28.18,320,63.12,187,36.88
พิษณุโลก,ชาติตระการ,"12,278",70.82,"5,059",29.18,"10,658",66.21,"5,439",33.79
พิษณุโลก,นครไทย,"30,436",79.47,"7,864",20.53,"27,020",75.75,"8,652",24.25
พิษณุโลก,เนินมะปราง,"14,524",67.9,"6,866",32.1,"12,667",63.4,"7,311",36.6
พิษณุโลก,บางกระทุ่ม,"12,075",57.14,"9,058",42.86,"10,631",53.48,"9,249",46.52
พิษณุโลก,บางระกำ,"24,639",61.24,"15,594",38.76,"21,943",57.71,"16,083",42.29
พิษณุโลก,พรหมพิราม,"24,316",61.51,"15,213",38.49,"21,784",57.52,"16,086",42.48
พิษณุโลก,เมืองพิษณุโลก,"98,673",72.22,"37,953",27.78,"90,248",68.35,"41,783",31.65
พิษณุโลก,วังทอง,"33,950",69.46,"14,925",30.54,"30,419",65.4,"16,091",34.6
พิษณุโลก,วัดโบสถ์,"12,017",67.25,"5,852",32.75,"10,798",63.15,"6,300",36.85
พิษณุโลก,นอกเขต,"2,228",69.8,964,30.2,"2,039",63.7,"1,162",36.3
เพชรบุรี,แก่งกระจาน,"11,339",80.37,"2,770",19.63,"10,365",77.73,"2,970",22.27
เพชรบุรี,เขาย้อย,"14,788",77.3,"4,342",22.7,"13,463",73.81,"4,778",26.19
เพชรบุรี,ชะอำ,"24,516",75.88,"7,792",24.12,"22,596",73.17,"8,284",26.83
เพชรบุรี,ท่ายาง,"33,562",80.57,"8,093",19.43,"30,968",77.96,"8,754",22.04
เพชรบุรี,บ้านลาด,"23,250",82.44,"4,954",17.56,"21,579",79.45,"5,580",20.55
เพชรบุรี,บ้านแหลม,"17,836",80.96,"4,194",19.04,"16,696",78.48,"4,578",21.52
เพชรบุรี,เมืองเพชรบุรี,"47,812",81.55,"10,815",18.45,"44,314",78.48,"12,154",21.52
เพชรบุรี,หนองหญ้าปล้อง,"6,226",81.17,"1,444",18.83,"5,658",77.72,"1,622",22.28
เพชรบุรี,นอกเขต,"1,202",75.08,399,24.92,"1,062",66.92,525,33.08
เพชรบูรณ์,เขาค้อ,"10,568",69.23,"4,698",30.77,"9,234",63.84,"5,231",36.16
เพชรบูรณ์,ชนแดน,"18,802",65.99,"9,690",34.01,"16,812",62.73,"9,990",37.27
เพชรบูรณ์,น้ำหนาว,"5,750",71.68,"2,272",28.32,"4,996",68.2,"2,330",31.8
เพชรบูรณ์,บึงสามพัน,"19,575",70.02,"8,382",29.98,"17,338",67.01,"8,534",32.99
เพชรบูรณ์,เมืองเพชรบูรณ์,"66,277",73.87,"23,446",26.13,"58,869",70.54,"24,582",29.46
เพชรบูรณ์,ปง,"7,538",56.04,"5,912",43.96,"6,514",52.71,"5,845",47.29
เพชรบูรณ์,วิเชียรบุรี,"31,704",63.04,"18,586",36.96,"27,457",59.61,"18,605",40.39
เพชรบูรณ์,ศรีเทพ,"15,781",58.53,"11,179",41.47,"13,617",54.89,"11,189",45.11
เพชรบูรณ์,หนองไผ่,"27,313",64.43,"15,076",35.57,"24,151",61.13,"15,354",38.87
เพชรบูรณ์,หล่มเก่า,"25,315",78.31,"7,013",21.69,"22,363",75.01,"7,452",24.99
เพชรบูรณ์,หล่มสัก,"56,793",73.12,"20,873",26.88,"50,731",69.18,"22,598",30.82
เพชรบูรณ์,นอกเขต,747,77.65,215,22.35,689,71.77,271,28.23
แพร่,เด่นชัย,"7,409",45.38,"8,919",54.62,"6,244",41.78,"8,701",58.22
แพร่,เมืองแพร่,"28,524",46.33,"33,049",53.67,"24,724",43.03,"32,731",56.97
แพร่,ร้องกวาง,"12,795",53.77,"11,000",46.23,"11,163",50.3,"11,029",49.7
แพร่,ลอง,"10,646",42.38,"14,474",57.62,"9,064",39.08,"14,131",60.92
แพร่,หนองม่วง,"13,266",61.77,"8,212",38.23,"11,231",57.97,"8,143",42.03
แพร่,สอง,"10,002",41.53,"14,084",58.47,"8,403",38.32,"13,525",61.68
แพร่,สูงเม่น,"14,999",37.48,"25,018",62.52,"12,712",33.98,"24,696",66.02
แพร่,หนองม่วงไข่,"4,829",50.89,"4,661",49.11,"4,150",46.29,"4,816",53.71
แพร่,นอกเขต,275,60.84,177,39.16,253,55.73,201,44.27
ภูเก็ต,กะทู้,"16,082",85.83,"2,655",14.17,"15,192",82.65,"3,189",17.35
ภูเก็ต,ถลาง,"34,335",88.14,"4,621",11.86,"32,602",86.03,"5,293",13.97
ภูเก็ต,เมืองภูเก็ต,"73,249",88.72,"9,315",11.28,"69,330",86.39,"10,925",13.61
ภูเก็ต,นอกเขต,"1,977",80.14,490,19.86,"1,845",75,615,25
มหาสารคาม,กันทรวิชัย,"15,453",39.04,"24,134",60.96,"13,133",34.7,"24,718",65.3
มหาสารคาม,กุดรัง,"6,970",46,"8,182",54,"5,996",41.78,"8,357",58.22
มหาสารคาม,แกดำ,"5,092",39.34,"7,851",60.66,"4,199",34.68,"7,910",65.32
มหาสารคาม,โกสุมพิสัย,"20,452",39.23,"31,682",60.77,"17,491",35.58,"31,666",64.42
มหาสารคาม,ชื่นชม,"3,942",38.83,"6,211",61.17,"3,385",36.22,"5,960",63.78
มหาสารคาม,เชียงยืน,"10,401",38.88,"16,352",61.12,"9,061",35.92,"16,163",64.08
มหาสารคาม,นาเชือก,"10,990",45.75,"13,034",54.25,"9,377",41.56,"13,184",58.44
มหาสารคาม,นาดูน,"6,832",45.85,"8,070",54.15,"5,685",41.32,"8,074",58.68
มหาสารคาม,บรบือ,"17,604",40.79,"25,556",59.21,"15,109",37.44,"25,243",62.56
มหาสารคาม,สามชัย,"15,593",45.38,"18,771",54.62,"13,282",41.14,"19,005",58.86
มหาสารคาม,เมืองมหาสารคาม,"33,327",45.6,"39,759",54.4,"28,994",41.48,"40,902",58.52
มหาสารคาม,ยางสีสุราช,"6,411",47.88,"6,979",52.12,"5,344",42.68,"7,178",57.32
มหาสารคาม,วาปีปทุม,"18,242",40.82,"26,443",59.18,"15,280",36.57,"26,502",63.43
มหาสารคาม,นอกเขต,"1,083",49.25,"1,116",50.75,962,43.59,"1,245",56.41
มุกดาหาร,คำชะอี,"7,860",41.56,"11,052",58.44,"6,795",38.5,"10,855",61.5
มุกดาหาร,ดงหลวง,"7,025",42.77,"9,401",57.23,"5,684",38.9,"8,927",61.1
มุกดาหาร,ดอนตาล,"5,711",30.59,"12,961",69.41,"4,865",27.69,"12,705",72.31
มุกดาหาร,อมก๋อย,"6,618",35.34,"12,109",64.66,"5,658",32.33,"11,841",67.67
มุกดาหาร,เมืองมุกดาหาร,"21,992",38.28,"35,463",61.72,"18,607",35.02,"34,533",64.98
มุกดาหาร,หนองสูง,"3,862",39.81,"5,838",60.19,"3,235",35.41,"5,902",64.59
มุกดาหาร,หว้านใหญ่,"3,061",37,"5,211",63,"2,622",33.19,"5,278",66.81
มุกดาหาร,นอกเขต,415,62.69,247,37.31,374,57.72,274,42.28
แม่ฮ่องสอน,ขุนยวม,"7,257",69.33,"3,210",30.67,"6,193",63.94,"3,492",36.06
แม่ฮ่องสอน,ปางมะผ้า,"4,734",66.86,"2,346",33.14,"4,200",63.05,"2,461",36.95
แม่ฮ่องสอน,ปาย,"9,328",61.46,"5,849",38.54,"8,353",56.85,"6,340",43.15
แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,"12,722",64.54,"6,990",35.46,"11,053",59.32,"7,581",40.68
แม่ฮ่องสอน,ลี้,"10,686",68.11,"5,003",31.89,"8,938",62.35,"5,398",37.65
แม่ฮ่องสอน,แม่สะเรียง,"15,463",66.8,"7,684",33.2,"13,072",61.96,"8,024",38.04
แม่ฮ่องสอน,สบเมย,"8,272",53.54,"7,177",46.46,"7,031",49.99,"7,033",50.01
แม่ฮ่องสอน,นอกเขต,977,66.24,498,33.76,856,58.39,610,41.61
ยโสธร,กุดชุม,"9,382",35.48,"17,060",64.52,"8,057",32.13,"17,020",67.87
ยโสธร,ค้อวัง,"3,518",35.96,"6,266",64.04,"2,905",31.59,"6,290",68.41
ยโสธร,คำเขื่อนแก้ว,"9,917",38.44,"15,884",61.56,"8,395",34.19,"16,158",65.81
ยโสธร,ทรายมูล,"3,995",34.01,"7,751",65.99,"3,409",29.95,"7,974",70.05
ยโสธร,ไทยเจริญ,"4,491",35.58,"8,131",64.42,"3,852",32.42,"8,030",67.58
ยโสธร,ป่าติ้ว,"5,876",38.4,"9,426",61.6,"4,995",33.87,"9,751",66.13
ยโสธร,มหาชนะชัย,"7,428",34.24,"14,263",65.76,"6,183",29.72,"14,624",70.28
ยโสธร,เมืองยโสธร,"23,508",40.58,"34,424",59.42,"20,132",36.76,"34,639",63.24
ยโสธร,เลิงนกทา,"12,836",30.79,"28,858",69.21,"11,128",27.94,"28,706",72.06
ยโสธร,นอกเขต,321,59.23,221,40.77,273,51.03,262,48.97
ยะลา,กรงปินัง,"1,747",16.02,"9,161",83.98,"1,722",16.31,"8,838",83.69
ยะลา,กาบัง,"3,548",39.28,"5,485",60.72,"3,400",38.47,"5,439",61.53
ยะลา,ธารโต,"4,220",46.62,"4,832",53.38,"4,069",45.5,"4,874",54.5
ยะลา,บันนังสตา,"5,705",27.11,"15,337",72.89,"5,387",26.33,"15,070",73.67
ยะลา,เบตง,"13,975",59.63,"9,460",40.37,"13,258",58.59,"9,370",41.41
ยะลา,เมืองยะลา,"33,348",50.07,"33,260",49.93,"31,813",49.05,"33,043",50.95
ยะลา,ยะหา,"5,545",24.52,"17,067",75.48,"5,388",24.54,"16,565",75.46
ยะลา,รามัน,"8,903",24.5,"27,443",75.5,"8,508",24.38,"26,389",75.62
ยะลา,นอกเขต,"4,768",83.49,943,16.51,"4,418",78.58,"1,204",21.42
ร้อยเอ็ด,เกษตรวิสัย,"12,037",32.11,"25,444",67.89,"10,003",28.23,"25,425",71.77
ร้อยเอ็ด,จตุรพักตร์พิมาน,"11,711",34.75,"21,985",65.25,"9,783",30.65,"22,134",69.35
ร้อยเอ็ด,จังหาร,"5,766",30.13,"13,370",69.87,"4,732",26.04,"13,443",73.96
ร้อยเอ็ด,เชียงขวัญ,"3,943",33.68,"7,764",66.32,"3,261",29.49,"7,796",70.51
ร้อยเอ็ด,ทุ่งเขาหลวง,"2,439",28.05,"6,255",71.95,"2,030",24.8,"6,154",75.2
ร้อยเอ็ด,ธวัชบุรี,"9,760",35.18,"17,985",64.82,"8,316",31.55,"18,045",68.45
ร้อยเอ็ด,ปทุมรัตน์,"6,366",30.73,"14,349",69.27,"5,277",27,"14,270",73
ร้อยเอ็ด,พนมไพร,"8,775",32.69,"18,069",67.31,"7,569",29.88,"17,762",70.12
ร้อยเอ็ด,โพธิ์ชัย,"9,627",40.59,"14,091",59.41,"7,683",35.39,"14,026",64.61
ร้อยเอ็ด,โพนทราย,"3,046",29.25,"7,369",70.75,"2,560",26,"7,285",74
ร้อยเอ็ด,โพนทอง,"16,696",39.75,"25,305",60.25,"14,081",35.73,"25,327",64.27
ร้อยเอ็ด,เมยวดี,"4,076",44.19,"5,147",55.81,"3,421",39.67,"5,202",60.33
ร้อยเอ็ด,เมืองร้อยเอ็ด,"32,283",47.07,"36,295",52.93,"27,941",42.85,"37,273",57.15
ร้อยเอ็ด,เมืองสรวง,"2,812",31.84,"6,021",68.16,"2,327",27.5,"6,134",72.5
ร้อยเอ็ด,ศรีสมเด็จ,"7,271",42.99,"9,643",57.01,"6,411",39.9,"9,656",60.1
ร้อยเอ็ด,สุวรรณภูมิ,"13,459",30.9,"30,097",69.1,"11,094",27,"29,999",73
ร้อยเอ็ด,เสลภูมิ,"16,760",35.27,"30,765",64.73,"14,186",31.42,"30,969",68.58
ร้อยเอ็ด,หนองพอก,"9,450",36.39,"16,521",63.61,"7,846",32.29,"16,451",67.71
ร้อยเอ็ด,หนองฮี,"2,253",26.95,"6,107",73.05,"1,902",24.26,"5,937",75.74
ร้อยเอ็ด,อาจสามารถ,"7,990",28.78,"19,772",71.22,"6,787",25.85,"19,467",74.15
ร้อยเอ็ด,นอกเขต,411,63.82,233,36.18,377,58.45,268,41.55
ระนอง,กระบุรี,"18,320",87.24,"2,680",12.76,"16,840",84.6,"3,065",15.4
ระนอง,กะเปอร์,"7,030",85,"1,241",15,"6,382",81.24,"1,474",18.76
ระนอง,เมืองระนอง,"27,510",87.78,"3,830",12.22,"25,660",85.01,"4,526",14.99
ระนอง,ลี้,"6,093",87.23,892,12.77,"5,576",84.37,"1,033",15.63
ระนอง,สุขสำราญ,"4,403",86.13,709,13.87,"4,093",83.12,831,16.88
ระนอง,นอกเขต,878,84.59,160,15.41,807,78.89,216,21.11
ระยอง,แกลง,"44,697",80.29,"10,969",19.71,"40,776",76.42,"12,582",23.58
ระยอง,เขาชะเมา,"7,631",77.41,"2,227",22.59,"6,921",73.18,"2,537",26.82
ระยอง,นิคมพัฒนา,"13,091",75.42,"4,266",24.58,"11,974",71.69,"4,728",28.31
ระยอง,บ้านค่าย,"24,725",81.38,"5,658",18.62,"22,959",78.53,"6,276",21.47
ระยอง,บ้านฉาง,"18,695",76.03,"5,893",23.97,"17,223",72.39,"6,568",27.61
ระยอง,ปลวกแดง,"15,259",74.33,"5,271",25.67,"14,056",70.79,"5,801",29.21
ระยอง,เมืองระยอง,"85,193",79.88,"21,460",20.12,"78,997",76.39,"24,409",23.61
ระยอง,วังจันทร์,"7,896",76.46,"2,431",23.54,"7,282",73.72,"2,596",26.28
ระยอง,นอกเขต,"4,009",69.53,"1,757",30.47,"3,637",63.54,"2,087",36.46
ราชบุรี,จอมบึง,"20,475",74.19,"7,122",25.81,"18,239",70.4,"7,669",29.6
ราชบุรี,ดำเนินสะดวก,"32,448",79.48,"8,377",20.52,"29,356",75.81,"9,368",24.19
ราชบุรี,บางแพ,"15,943",76.27,"4,961",23.73,"14,565",73.26,"5,315",26.74
ราชบุรี,บ้านคา,"6,654",66.73,"3,317",33.27,"5,901",63.34,"3,416",36.66
ราชบุรี,ปง,"58,727",75.84,"18,707",24.16,"53,589",72.88,"19,940",27.12
ราชบุรี,ปากท่อ,"23,856",75.8,"7,615",24.2,"21,358",72.26,"8,199",27.74
ราชบุรี,โพธาราม,"49,016",75.09,"16,258",24.91,"44,411",71.88,"17,372",28.12
ราชบุรี,เมืองราชบุรี,"68,345",75.08,"22,689",24.92,"62,490",71.49,"24,921",28.51
ราชบุรี,พล,"4,692",76.42,"1,448",23.58,"4,257",72.72,"1,597",27.28
ราชบุรี,สวนผึ้ง,"9,736",71.07,"3,963",28.93,"8,699",67.3,"4,227",32.7
ราชบุรี,นอกเขต,"1,583",67.65,757,32.35,"1,433",61.74,888,38.26
ลพบุรี,โคกเจริญ,"5,166",57.28,"3,853",42.72,"4,228",51.17,"4,035",48.83
ลพบุรี,โคกสำโรง,"20,215",60.9,"12,977",39.1,"17,888",58.39,"12,745",41.61
ลพบุรี,ชัยบาดาล,"25,277",72.13,"9,769",27.87,"22,625",69.17,"10,086",30.83
ลพบุรี,ท่าม่วง,"12,799",55.78,"10,145",44.22,"11,349",53.03,"10,053",46.97
ลพบุรี,ท่าหลวง,"8,806",73.8,"3,127",26.2,"7,870",71.02,"3,212",28.98
ลพบุรี,บ้านหมี่,"16,052",53.23,"14,106",46.77,"14,220",50.27,"14,069",49.73
ลพบุรี,พัฒนานิคม,"19,875",66.2,"10,146",33.8,"17,449",63.33,"10,105",36.67
ลพบุรี,ลี้,"74,574",66.13,"38,193",33.87,"67,893",63.36,"39,264",36.64
ลพบุรี,ลี้,"7,771",73.78,"2,761",26.22,"6,772",69.87,"2,920",30.13
ลพบุรี,สระโบถส์,"5,623",55.88,"4,439",44.12,"4,724",52.69,"4,242",47.31
ลพบุรี,หนองม่วง,"8,319",63.87,"4,706",36.13,"7,242",60.18,"4,792",39.82
ลพบุรี,นอกเขต,"1,142",76.03,360,23.97,"1,014",67.38,491,32.62
ลำปาง,เกาะคา,"14,509",47.61,"15,964",52.39,"12,396",43.82,"15,893",56.18
ลำปาง,งาว,"10,823",44.27,"13,622",55.73,"9,130",41.05,"13,113",58.95
ลำปาง,แจ้ห่ม,"11,854",56.91,"8,975",43.09,"10,282",53.72,"8,858",46.28
ลำปาง,เถิน,"13,430",50,"13,430",50,"11,654",46.72,"13,293",53.28
ลำปาง,เมืองปาน,"7,485",46.37,"8,656",53.63,"6,268",43.46,"8,153",56.54
ลำปาง,เมืองลำปาง,"68,821",58.69,"48,442",41.31,"61,286",55.52,"49,094",44.48
ลำปาง,แม่ทะ,"13,753",44.06,"17,464",55.94,"11,732",41.18,"16,758",58.82
ลำปาง,แม่พริก,"3,509",47.53,"3,874",52.47,"3,093",44.61,"3,841",55.39
ลำปาง,แม่เมาะ,"13,539",66.67,"6,768",33.33,"11,785",63.37,"6,812",36.63
ลำปาง,วังเหนือ,"11,182",49.68,"11,324",50.32,"9,400",45.84,"11,107",54.16
ลำปาง,สบปราบ,"5,318",40.29,"7,882",59.71,"4,247",37.15,"7,186",62.85
ลำปาง,เสริมงาม,"6,271",42.69,"8,418",57.31,"5,236",39.53,"8,011",60.47
ลำปาง,ห้างฉัตร,"12,603",44.69,"15,597",55.31,"10,864",41.2,"15,503",58.8
ลำปาง,นอกเขต,661,59.66,447,40.34,596,54.08,506,45.92
ลำพูน,ทุ่งหัวช้าง,"5,363",53.42,"4,677",46.58,"4,257",49.8,"4,292",50.2
ลำพูน,บ้านธิ,"3,935",35.41,"7,178",64.59,"3,299",32.14,"6,967",67.86
ลำพูน,บ้านโฮ่ง,"12,903",52.28,"11,776",47.72,"11,060",48.69,"11,654",51.31
ลำพูน,ป่าซาง,"15,561",48.26,"16,686",51.74,"13,540",45.52,"16,204",54.48
ลำพูน,ลี้,"36,464",45.21,"44,199",54.79,"31,683",41.99,"43,778",58.01
ลำพูน,แม่ทา,"10,289",47.04,"11,586",52.96,"8,717",44.05,"11,071",55.95
ลำพูน,ลี้,"19,139",56.64,"14,653",43.36,"16,416",53.67,"14,170",46.33
ลำพูน,เวียงหนองล่อง,"4,478",41.76,"6,245",58.24,"3,860",38.96,"6,048",61.04
ลำพูน,นอกเขต,"1,363",52,"1,258",48,"1,235",47.39,"1,371",52.61
เลย,เชียงคาน,"15,093",53.62,"13,053",46.38,"12,818",49.06,"13,310",50.94
เลย,ด่านซ้าย,"16,365",65.81,"8,502",34.19,"13,869",70.73,"5,738",29.27
เลย,ลี้,"6,798",50.92,"6,552",49.08,"5,790",47.82,"6,317",52.18
เลย,นาด้วง,"5,177",45.66,"6,160",54.34,"4,244",40.53,"6,227",59.47
เลย,นาแห้ว,"3,800",64.19,"2,120",35.81,"3,173",58.76,"2,227",41.24
เลย,ปากชม,"9,282",52.5,"8,399",47.5,"7,802",48.58,"8,259",51.42
เลย,ผาขาว,"7,780",47.37,"8,644",52.63,"6,723",43.78,"8,633",56.22
เลย,ภูกระดึง,"6,742",48.46,"7,171",51.54,"5,768",44.69,"7,139",55.31
เลย,ภูเรือ,"6,362",56.18,"4,963",43.82,"5,286",50.51,"5,180",49.49
เลย,ภูหลวง,"5,623",49.1,"5,828",50.9,"4,748",34.69,"8,937",65.31
เลย,เมืองเลย,"35,978",59.31,"24,683",40.69,"31,344",55.23,"25,407",44.77
เลย,วังสะพุง,"27,275",52.42,"24,760",47.58,"23,153",48.1,"24,984",51.9
เลย,หนองหิน,"5,610",52.96,"4,982",47.04,"4,859",49.15,"5,027",50.85
เลย,เอราวัณ,"5,856",43.01,"7,759",56.99,"4,897",38.72,"7,751",61.28
เลย,นอกเขต,653,67.53,314,32.47,585,60.37,384,39.63
ศีรสะเกษ,กันทรลักษ์,"39,828",51.75,"37,140",48.25,"33,756",47.62,"37,131",52.38
ศีรสะเกษ,กันทรารมย์,"17,191",42.75,"23,026",57.25,"14,203",37.41,"23,762",62.59
ศีรสะเกษ,ขุขันธ์,"22,222",38.91,"34,885",61.09,"18,828",35.13,"34,774",64.87
ศีรสะเกษ,ขุนหาญ,"17,715",43.87,"22,670",56.13,"14,709",39.59,"22,445",60.41
ศีรสะเกษ,น้ำเกลี้ยง,"6,062",36.54,"10,526",63.46,"5,090",33.24,"10,222",66.76
ศีรสะเกษ,โนนคูณ,"5,657",35.08,"10,468",64.92,"4,516",30.08,"10,499",69.92
ศีรสะเกษ,บึงบูรพ์,"1,775",39.66,"2,701",60.34,"1,418",33.83,"2,774",66.17
ศีรสะเกษ,เบญจลักษณ์,"6,497",43.56,"8,419",56.44,"5,536",39.5,"8,480",60.5
ศีรสะเกษ,ปรางค์กู่,"9,071",37.3,"15,247",62.7,"7,608",33.39,"15,175",66.61
ศีรสะเกษ,พยุห์,"4,952",37.44,"8,276",62.56,"4,013",33.01,"8,144",66.99
ศีรสะเกษ,โพธิ์ศรีสุวรรณ,"3,100",33.97,"6,026",66.03,"2,598",30.58,"5,897",69.42
ศีรสะเกษ,ไพรบึง,"7,145",39.34,"11,019",60.66,"5,944",34.97,"11,051",65.03
ศีรสะเกษ,ภูสิงห์,"7,588",39.57,"11,590",60.43,"6,319",35.83,"11,317",64.17
ศีรสะเกษ,เมืองจันทร์,"2,645",38.78,"4,176",61.22,"2,196",35.24,"4,035",64.76
ศีรสะเกษ,เมืองศีรสะเกษ,"31,234",51.2,"29,773",48.8,"26,709",46.84,"30,308",53.16
ศีรสะเกษ,ยางชุมน้อย,"7,170",45.56,"8,566",54.44,"5,908",40.54,"8,666",59.46
ศีรสะเกษ,ราษีไศล,"12,238",36.91,"20,919",63.09,"9,913",32.19,"20,880",67.81
ศีรสะเกษ,หนองม่วง,"6,387",32.14,"13,487",67.86,"5,211",27.96,"13,424",72.04
ศีรสะเกษ,ศรีรัตนะ,"7,490",39.09,"11,670",60.91,"6,140",35.07,"11,369",64.93
ศีรสะเกษ,ศิลาลาด,"2,547",32.59,"5,269",67.41,"2,129",28.93,"5,229",71.07
ศีรสะเกษ,ห้วยทับทัน,"5,579",37.22,"9,411",62.78,"4,780",34.03,"9,268",65.97
ศีรสะเกษ,ด่านมะขามเตี้ย,"17,386",41.12,"24,900",58.88,"14,743",36.96,"25,150",63.04
ศีรสะเกษ,นอกเขต,"3,020",72.42,"1,150",27.58,"2,734",66.8,"1,359",33.2
สกลนคร,กุดบาก,"7,645",57.97,"5,542",42.03,"6,280",52.39,"5,708",47.61
สกลนคร,กุสุมาลย์,"8,528",51.41,"8,061",48.59,"7,202",46.3,"8,352",53.7
สกลนคร,ลี้,"5,524",39.09,"8,607",60.91,"4,605",34.66,"8,683",65.34
สกลนคร,โคกศรีสุพรรณ,"7,303",46.66,"8,347",53.34,"6,086",40.99,"8,763",59.01
สกลนคร,เจริญศิลป์,"6,874",42.74,"9,208",57.26,"5,726",37.44,"9,568",62.56
สกลนคร,เต่างอย,"5,439",51.03,"5,220",48.97,"4,583",46.71,"5,228",53.29
สกลนคร,นิคมน้ำอูน,"3,333",54.27,"2,808",45.73,"2,764",47.56,"3,048",52.44
สกลนคร,บ้านม่วง,"10,895",42.72,"14,607",57.28,"9,090",37.72,"15,006",62.28
สกลนคร,พรรณานิคม,"16,385",48.28,"17,551",51.72,"13,944",43.53,"18,088",56.47
สกลนคร,พังโคน,"10,526",50.36,"10,376",49.64,"8,862",44.49,"11,057",55.51
สกลนคร,โพนนาแก้ว,"6,980",48.83,"7,315",51.17,"5,928",44.24,"7,471",55.76
สกลนคร,ภูพาน,"7,280",52.29,"6,642",47.71,"6,088",46.45,"7,018",53.55
สกลนคร,เมืองสกลนคร,"43,031",52.4,"39,082",47.6,"37,417",47.94,"40,639",52.06
สกลนคร,วานรนิวาส,"21,718",46.03,"25,468",53.97,"17,785",39.76,"26,946",60.24
สกลนคร,วาริชภูมิ,"10,304",45.58,"12,304",54.42,"8,603",39.95,"12,932",60.05
สกลนคร,สว่างแดนดิน,"26,021",44.4,"32,581",55.6,"22,314",40.06,"33,387",59.94
สกลนคร,ส่องดาว,"5,240",40.86,"7,583",59.14,"4,298",35.86,"7,689",64.14
สกลนคร,อากาศอำนวย,"13,954",48.28,"14,946",51.72,"11,478",42.05,"15,818",57.95
สกลนคร,นอกเขต,392,61.15,249,38.85,338,53.14,298,46.86
สงขลา,กระแสสินธุ์,"6,420",85.94,"1,050",14.06,"5,907",84.35,"1,096",15.65
สงขลา,คลองหอยโข่ง,"11,398",88.84,"1,432",11.16,"10,619",86.52,"1,655",13.48
สงขลา,ควนเนียง,"13,898",87.45,"1,995",12.55,"12,899",85.55,"2,178",14.45
สงขลา,จะนะ,"32,749",65.95,"16,911",34.05,"30,576",64.18,"17,065",35.82
สงขลา,เทพา,"22,668",66.27,"11,540",33.73,"21,121",64.25,"11,751",35.75
สงขลา,นาทวี,"24,474",77.2,"7,228",22.8,"22,980",75.58,"7,424",24.42
สงขลา,นาหม่อม,"10,830",90.34,"1,158",9.66,"10,248",88.64,"1,314",11.36
สงขลา,ลี้,"12,328",85.22,"2,138",14.78,"11,528",83.52,"2,275",16.48
สงขลา,เมืองสงขลา,"63,601",89.25,"7,657",10.75,"60,426",87.09,"8,960",12.91
สงขลา,ระโนด,"25,270",87.33,"3,665",12.67,"23,402",85.4,"4,001",14.6
สงขลา,รัตภูมิ,"27,400",85.57,"4,619",14.43,"25,251",83.24,"5,085",16.76
สงขลา,สทิงพระ,"20,464",89.24,"2,467",10.76,"18,999",87.14,"2,804",12.86
สงขลา,สะเดา,"40,198",83.12,"8,164",16.88,"37,930",81.3,"8,722",18.7
สงขลา,สะบ้าย้อย,"16,463",53.55,"14,282",46.45,"15,516",52.12,"14,252",47.88
สงขลา,สิงหนคร,"31,005",86.32,"4,912",13.68,"28,933",84.34,"5,372",15.66
